date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-11 17:58:00,pasionensevilla,,0,0,2,"[GALERÍA] Semana Santa en tiempo de coronavirus, por J. J. Úbeda https://sevilla.abc.es/sevilla/semana-santa/sevi-semana-santa-tiempos-coronavirus-40550091214-20200410152310_galeria.html #SSantaSevilla20 #SSantaSevABC #MomentosPS #SábadoSanto",,,#SSantaSevilla20 #SSantaSevABC #MomentosPS #S,1249033974892167168,https://twitter.com/pasionensevilla/status/1249033974892167168
2020-04-11 17:47:05,elllamadorcsr,,1,8,43,"La otra Semana Santa en tiempos de coronavirus. Galería 1 de Juan José Úbeda https://sevilla.abc.es/sevilla/semana-santa/sevi-semana-santa-tiempos-coronavirus-40550091214-20200410152310_galeria.html#imagen19",,,,1249031229871132673,https://twitter.com/elllamadorcsr/status/1249031229871132673
2020-04-11 17:46:35,elllamadorcsr,,0,6,12,"La otra Semana Santa en tiempos de coronavirus. Galería 2 de Juan José Úbeda ",,,,1249031101760372736,https://twitter.com/elllamadorcsr/status/1249031101760372736
2020-04-11 15:58:05,pasionensevilla,,0,0,6,"[GALERÍA] Semana Santa en tiempo de coronavirus, por J. J. Úbeda https://sevilla.abc.es/sevilla/semana-santa/sevi-semana-santa-tiempos-coronavirus-40550091214-20200410152310_galeria.html #SSantaSevilla20 #SSantaSevABC #MomentosPS #SábadoSanto",,,#SSantaSevilla20 #SSantaSevABC #MomentosPS #S,1249003799181766663,https://twitter.com/pasionensevilla/status/1249003799181766663
2020-04-11 15:45:08,abcdesevilla,,0,0,3,"[Fotogalería ] Juan José Úbeda ofrece una Semana Santa sin procesiones en tiempos del coronavirus, una oda gráfica a la concienciación social que nada tiene que ver con las cofradías... o sí http://ow.ly/FsGY50zbwHe",,,,1249000538676563969,https://twitter.com/abcdesevilla/status/1249000538676563969
2020-04-11 15:44:02,Newtral__,,0,0,0,"Si eres moro tienes Semana Santa #SanchezDimision #Covid_19 #YoMeQuedoEnCasa #garzondimision #COVIDー19 #Covid_19 #CuarentenaPorLaVida #vicepandemias #PodemosPandemia #QuedateEnCasa #NiUnaMas #NiUnaMenos #Covid_19 #coronavirus #GobiernoDimision #PinochoSanchez y #PableninIglesias – at Cafe de indias",,,#SanchezDimision #Covid_19 #YoMeQuedoEnCasa #YoMeQuedoEnCasa #garzondimision #COVID #Covid_19 #CuarentenaPorLaVida #vicepandemias #PodemosPandemia #QuedateEnCasa #QuedateEnCasa #NiUnaMas #NiUnaMas #NiUnaMenos #NiUnaMenos #Covid_19 #coronavirus #GobiernoDimision #PinochoSanchez #PableninIglesias,1249000262624256001,https://twitter.com/Newtral__/status/1249000262624256001
2020-04-11 15:03:00,pasionensevilla,,0,0,3,"[GALERÍA] Semana Santa en tiempo de coronavirus, vía J. J. Úbeda https://sevilla.abc.es/sevilla/semana-santa/sevi-semana-santa-tiempos-coronavirus-40550316468-20200411083643_galeria.html#imagen1 #SSantaSevilla20 #SSantaSevABC #MomentosPS #SábadoSanto",,,#SSantaSevilla20 #SSantaSevABC #MomentosPS #S,1248989935337496576,https://twitter.com/pasionensevilla/status/1248989935337496576
2020-04-11 14:03:00,pasionensevilla,,0,1,1,"[GALERÍA] Semana Santa en tiempo de coronavirus, vía J. J. Úbeda https://sevilla.abc.es/sevilla/semana-santa/sevi-semana-santa-tiempos-coronavirus-40550316468-20200411083643_galeria.html#imagen1 #SSantaSevilla20 #SSantaSevABC #MomentosPS #SábadoSanto",,,#SSantaSevilla20 #SSantaSevABC #MomentosPS #S,1248974835566379010,https://twitter.com/pasionensevilla/status/1248974835566379010
2020-04-11 12:22:16,Nico_Martin_R,,0,1,3,"Eres tonto, muy tonto... Garzón, el ministro que se mofa de la Semana Santa con más de 16.000 muertos por coronavirus https://www.larazon.es/espana/20200411/nfcc44e5b5chlhirrpkuvgqojm.html vía @larazon_es",,@larazon_es,,1248949487902621696,https://twitter.com/Nico_Martin_R/status/1248949487902621696
2020-04-11 11:02:00,pasionensevilla,,0,1,4,"Semana Santa en tiempo de coronavirus, vía J. J. Úbeda https://sevilla.abc.es/sevilla/semana-santa/sevi-semana-santa-tiempos-coronavirus-40550316468-20200411083643_galeria.html#imagen1 #SSantaSevilla20 #SSantaSevABC #MomentosPS #SábadoSanto",,,#SSantaSevilla20 #SSantaSevABC #MomentosPS #S,1248929285454225414,https://twitter.com/pasionensevilla/status/1248929285454225414
